id,date_established,year_balance,date_status,status,nuts1,nuts2,nuts3,roe,rcem,solr,rshf,rcem.1,solr.1,empl,rtas,roa,prma,grma,etma,ebma,cfop,evet,mkcf,nat,ic,stot,coll,crpe,liqr,curr,shlq,solr.2,soll,gear,ppe,tpe,sct,ace,sfpe,wcpe,tape
S4C16P,2009-12-30,2017,NA,Active,ITI - Centre,ITI1 - Toscana,ITI16 - Livorno,-37.505,5.73,5.598,-30.807,5.783,5.586,25,-1.718,-2.116,-1.419,NA,4.47,2.537,0.149,NA,NA,2.278,0.582,13.543,-0.109,23.81,1.291,1.481,0.09,5.599,5.93,NA,-0.202,80.755,38.048,30.917,3.835,1.101,82.098
96WGZ3,1976-10-13,1997,2004-02-04,Bankruptcy,NA,NA,NA,-26.806,9.146,13.556,-26.916,8.976,13.565,10,-3.627,-3.613,-1.959,NA,NA,0.992,NA,NA,NA,9.081,0.532,49.238,149.872,67.089,1,1.042,1.892,13.552,15.702,365.1,-3.446,264.264,6.868,17.819,19.183,66.16,263.693
MO941A,1977-12-28,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC4B - Mantova,24.184,27.219,45.465,34.114,27.201,45.464,12,15.527,11.073,7.786,NA,8.782,7.921,6.392,NA,NA,3.432,53.286,16.213,83.107,60.136,1.84,2.13,3.693,45.468,83.42,30.988,42.869,548.788,9.529,52.185,126.1,70.183,549.108
NCP413,2000-06-01,2017,NA,Active,ITH - Northeast,ITH3 - Veneto,ITH34 - Treviso,14.987,16.213,10.815,39.769,16.289,10.841,16,4.319,1.634,1.749,NA,5.1,2.844,2.868,NA,NA,5.688,2.534,61.745,45.157,49.036,1.171,1.25,0.388,10.839,12.14,365.274,2.243,109.893,26.891,30.034,5.178,0.989,112.949
JA4Y28,1974-01-05,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC4B - Mantova,7.978,6.662,30.022,10.974,6.568,30.027,17,3.28,2.399,2.304,NA,4.51,2.636,3.51,NA,NA,2.518,8.724,2.989,40.816,80.935,0.771,1.871,0.947,30.036,42.888,114.294,67.067,2847.423,1.8,50.869,599.072,629.891,2847.071
1GO82I,1993-04-22,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC48 - Pavia,NA,NA,-10.059,NA,NA,-10.041,33,-57.679,-58.629,-52.927,NA,-43.521,-51.636,-45.653,NA,NA,35.353,-36.561,39.126,79.99,147.926,0.362,0.389,-0.821,-10.044,NA,NA,-60.774,109.511,42.478,47.096,NA,-18.048,109.011
J917QF,1998-11-12,2017,NA,Active,ITH - Northeast,ITH5 - Emilia-Romagna,ITH52 - Parma,13.068,17.402,55.56,18.046,17.508,55.573,8,10.049,7.35,10.766,NA,12.375,11.406,8.815,NA,NA,1.531,17.014,1.444,23.013,20.962,0.431,2.08,11.136,55.58,NA,29.557,76.57,708.839,2.72,18.85,421.824,499.139,707.516
3O32ZL,2000-07-18,1999,NA,Bankruptcy,ITI - Centre,ITI4 - Lazio,ITI43 - Roma,NA,689.021,-0.201,NA,688.992,-0.209,13,-3.532,-3.463,-2.494,NA,2.797,1.096,-0.753,NA,NA,584.931,0.476,10.554,118.164,101.151,0.541,0.668,-0.546,-0.2,NA,NA,-20.875,787.604,2.191,16.937,NA,112.127,787.303
P8J9Y8,2005-03-10,2017,NA,Active,ITH - Northeast,ITH3 - Veneto,ITH34 - Treviso,57.556,46.916,26.844,80.332,46.965,26.811,1,21.51,15.403,5.996,NA,NA,6.134,NA,NA,NA,7.663,42.09,NA,52.121,18.178,1.881,1.882,1.461,26.847,36.66,180.001,116.017,1974.34,0.92,17.893,147.901,182.816,1974.328
4C8BT9,2001-11-09,2010,NA,Unknown,ITF - South,ITF4 - Puglia,ITF48 - Barletta-Andria-Trani,40.102,184.21,1.071,195.037,184.412,1.09,8,2.11,0.417,1.713,NA,2.898,1.855,1.426,NA,NA,99.594,13.881,3.213,33.912,40.112,0.57,0.958,7.225,1.09,1.088,14.25,1.507,173.228,16.499,28.123,1.999,51.059,172.857
